Date, Code, Outcome, Payout, Teams, Input 
18/03/2026, 79082591379, Won, 30.4, Braga Ferencvarosi, 20
18/03/2026, 79083152881, Won, 49.01, Braga Ferencvarosi Barcelona Newcastle, 20
18/03/2026, 79095986231, Won, 39.75, Barcelona Newcastle, 25
18/03/2026, 79099579535, Won, 168.12, Tottenham Ateltico Liverpool Galatasaray Bayen Atlanta, 40
18/03/2026, 79103879031, Lost, 0, Liverpool Galatasaray-Osimhen, 50
18/03/2026, 79105189641, Won , 11.46, Tottenham Atletico, 4
18/03/2026, 79110311891, Refund, 180, Bahia Bragantino, 180
 19/03/2026, 79143395737, Lost, 0, AstonVilla lille krylia moscow larnaca crystalpalace betis panathinaikos midtjyland nottinghamforest Strasbourg Rijeka FSVMainz SigmaOlomouc AEkAthens Celje RakowCzestochowa Florentina RayoVallecano Samsunspor Shakhtar LechPoznan SpartaPrague Alkamaar, 10
19/03/2026, 79143512803, Lost, 0, lyon Celta Rakow Florentina, 80
19/03/2026, 79144018707, Lost, 0, midtjyland NottinghamPalace Betis Panathinaikos porto VfB Stuttgart, 0
19/03/2026, 79144018707, Won, 103.81, midtjyland NottinghamPalace Freiburg Genk Rakow Florentina, 30
19/03/2026, 79154993597, Lost, 0, AstonVilla Lille Roma Bologna Port VfBStuttgart Betis Panathinaikos Strasbourg Rijeka RayoVallecano Samsunspor, 100
